channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category
쇼핑엔티	20260706	06:36	07:36	60	26SS [슈퍼카미트] 여성 레인부츠 + 슬라이드 2종	26SS	26SS [슈퍼카미트] 여성 레인부츠 + 슬라이드 2종	단순	06:36	07:36	60	76388400	잡화/주얼리	패션잡화
현대홈쇼핑	20260706	07:15	08:16	61	[방송에서만]뉴케어 구수한맛 밸런스업 144팩 + 유러피안 행주 6P	대상	[방송에서만]뉴케어 구수한맛 밸런스업 144팩 + 유러피안 행주 6P	단순	07:15	08:16	61	132111000	건강식품	식품
CJ온스타일	20260706	07:15	08:15	60	카사베르디 유기농 와인비니거 레드6+2병+디스펜서	그레인온	카사베르디 유기농 와인비니거 레드6+2병+디스펜서	단순	07:15	08:15	60	102472000	건강식품	식품
GS홈쇼핑	20260706	07:15	09:25	130	SJ와니 플리츠 슬리브리스 블라우스 1종 [런칭 가격 79,900원]	SJ와니	SJ와니 플리츠 슬리브리스 블라우스 1종 [런칭 가격 79,900원]	단순	07:15	09:25	130	1167494400	의류	패션의류
공영쇼핑	20260706	07:15	08:20	65	바이렌 엔드그레인 도마 세트 (대, 중, 원형도마, 스텐304 트레이, 거치대)	바이렌	바이렌 엔드그레인 도마 세트 (대, 중, 원형도마, 스텐304 트레이, 거치대)	단순	07:15	08:20	65	72206700	리빙/주방	생활/건강
홈앤쇼핑	20260706	07:15	08:15	60	[최신상] 컬러딥 찐커버 블랙에디션 기본패키지 (찐커버4개+팩트1개)	컬러딥	[최신상] 컬러딥 찐커버 블랙에디션 기본패키지 (찐커버4개+팩트1개)	단순	07:15	08:15	60	109389000	미용	화장품/미용
롯데홈쇼핑	20260706	07:15	09:25	130	[조르쥬 레쉬] 26SS 라이트 배럴 팬츠 4종	조르쥬 레쉬	[조르쥬 레쉬] 26SS 라이트 배럴 팬츠 4종	단순	07:15	09:25	130	502649400	의류	패션의류
NS홈쇼핑	20260706	07:25	08:26	61	위매스틱케어	매스틱	위매스틱케어	단순	07:25	08:26	61	70899000	건강식품	식품
신세계쇼핑	20260706	07:31	08:32	61	26SS] 비버리힐즈폴로클럽 여성 코튼반팔티셔츠 5종세트	비버리힐즈폴로클럽	26SS] 비버리힐즈폴로클럽 여성 코튼반팔티셔츠 5종세트	단순	07:31	08:32	61	49978500	의류	패션의류
SK스토아	20260706	07:31	08:31	60	[방송에서만세일] 뉴밋 유기농 엑스트라버진 올리브오일 피쿠알 10박스 | 원산지 : 상품정보 참조	뉴밋	[방송에서만세일] 뉴밋 유기농 엑스트라버진 올리브오일 피쿠알 10박스 | 원산지 : 상품정보 참조	단순	07:31	08:31	60	71676000	건강식품	식품
KT알파쇼핑	20260706	07:35	08:36	61	이자녹스_듀얼커버쿠션	이자녹스	이자녹스_듀얼커버쿠션	단순	07:35	08:36	61	61120000	미용	화장품/미용
쇼핑엔티	20260706	07:36	08:36	60	[방송에서만!]라오메뜨 전설의 패치 프리미엄 혼합 440매	라오메뜨	[방송에서만!]라오메뜨 전설의 패치 프리미엄 혼합 440매	단순	07:36	08:36	60	37075700	리빙/주방	생활/건강
홈앤쇼핑	20260706	08:15	09:25	70	[방송에서만SALE/4통] 키라니아 데오 드 퍼퓸 바디워시 4통패키지	키라니아	[방송에서만SALE/4통] 키라니아 데오 드 퍼퓸 바디워시 4통패키지	단순	08:15	09:25	70	138432700	미용	화장품/미용
현대홈쇼핑	20260706	08:15	09:26	71	이상봉에디션 26SS 레이첼 2way 소가죽 백팩	이상봉	이상봉에디션 26SS 레이첼 2way 소가죽 백팩	단순	08:15	09:26	71	328688700	의류	패션의류
CJ온스타일	20260706	08:15	09:20	65	다용도500ml 2개+대용량 6개+스프레이건	은나노스텝	다용도500ml 2개+대용량 6개+스프레이건	단순	08:15	09:20	65	226044400	리빙/주방	생활/건강
공영쇼핑	20260706	08:20	09:20	60	[라스튜디오]  여성 썸머 다트데님팬츠3종	라스튜디오	[라스튜디오]  여성 썸머 다트데님팬츠3종	단순	08:20	09:20	60	143755600	의류	패션의류
NS홈쇼핑	20260706	08:25	09:26	61	스타일리스미니제트팬	스타일리스	스타일리스미니제트팬	단순	08:25	09:26	61	46555720	가전	디지털/가전
SK스토아	20260706	08:31	09:31	60	발패치 60매+(방송에서만)무료체험 10매	발패치	발패치 60매+(방송에서만)무료체험 10매	단순	08:31	09:31	60	84585500	리빙/주방	생활/건강
신세계쇼핑	20260706	08:31	09:32	61	**3만원 SALE** 마미케어 율무영양크림 기본세트 (크림 80g*4개)	마미케어	**3만원 SALE** 마미케어 율무영양크림 기본세트 (크림 80g*4개)	단순	08:31	09:32	61	64308000	미용	출산/육아
쇼핑엔티	20260706	08:36	09:36	60	[50％세일] 골드 카무트 효소 12박스 +  파로 5봉 + 복부마사지기	카무트	[50％세일] 골드 카무트 효소 12박스 +  파로 5봉 + 복부마사지기	단순	08:36	09:36	60	54252000	건강식품	식품
KT알파쇼핑	20260706	08:36	09:37	61	(초이스)베네통_니트+집업자켓	베네통	(초이스)베네통_니트+집업자켓	단순	08:36	09:37	61	142331000	의류	스포츠/레저
CJ온스타일	20260706	09:20	11:25	125	벨루엔 우양산 세트	벨루엔	벨루엔 우양산 세트	복합	09:20	11:25	125	580797100		패션의류
공영쇼핑	20260706	09:20	10:25	65	[과세][2026 햇육젓] 김정배명인새우젓(육젓)500g×3통	2026	[과세][2026 햇육젓] 김정배명인새우젓(육젓)500g×3통	단순	09:20	10:25	65	163361700	미용	식품
NS홈쇼핑	20260706	09:25	10:26	61	기절베개	기절베개	기절베개	단순	09:25	10:26	61	81146900	리빙/주방	가구/인테리어
