channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
CJ온스타일 플러스	20260701	03:05	03:15	10	24K 트리플 팬던트 목걸이	24K	24K 트리플 팬던트 목걸이	단순	03:05	03:15	10	1390000		패션잡화	1390000	https://display.cjonstyle.com/p/item/2087661264
롯데원티비	20260701	03:06	03:11	5	[라포레] ◎ 라포레 스타일 텀블러 세트 (방송구성)	라포레	[라포레] ◎ 라포레 스타일 텀블러 세트 (방송구성)	단순	03:06	03:11	5	259600		생활/건강	64900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911869
롯데원티비	20260701	03:11	03:17	6	[쁠랑뜨] 클렌즈 주스 스무디 4종 40팩 (3)	클렌즈	[쁠랑뜨] 클렌즈 주스 스무디 4종 40팩 (3)	단순	03:11	03:17	6	0		식품	248000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911643
GS홈쇼핑 마이샵	20260701	03:12	03:32	20	닥터오기덤 앰플 인 마스크팩 방송특가구성	닥터오기덤	닥터오기덤 앰플 인 마스크팩 방송특가구성	단순	03:12	03:32	20	2594800		화장품/미용	49900	https://www.gsshop.com/prd/prd.gs?prdid=1116224880&brddate=20260712163800&pgmID=6737&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260701	03:15	03:25	10	24K 비너스 체인 목걸이	24K	24K 비너스 체인 목걸이	단순	03:15	03:25	10	7930000		패션잡화	5320000	https://display.cjonstyle.com/p/item/2087659771
CJ온스타일	20260701	03:15	03:30	15	[최초가 179,000원]26SS 베로 패커블 롱 사파리	바니스뉴욕	[최초가 179,000원]26SS 베로 패커블 롱 사파리	단순	03:15	03:30	15	5640000	의류	패션의류	179000	https://display.cjonstyle.com/p/item/2077522625?channelCode=30002002
NS홈쇼핑	20260701	03:20	04:01	41	히트상품 앵콜방송3부	히트상품	히트상품 앵콜방송3부	복합	03:20	04:01	41	2132000		식품	198000	https://m.nsmall.com/goods/35960780
현대홈쇼핑 플러스샵	20260701	03:20	03:40	20	[신영와코루] 2026 로맨틱블룸 레이스 풀커버 브라팬티 10종 (5SET)	신영와코루	[신영와코루] 2026 로맨틱블룸 레이스 풀커버 브라팬티 10종 (5SET)	단순	03:20	03:40	20	1253000		패션의류	179000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2247625804
현대홈쇼핑	20260701	03:20	04:10	50	[안유성명장] 가매 일품 깐새우장 세트 (750gx5통 총100마리)	안유성명장	[안유성명장] 가매 일품 깐새우장 세트 (750gx5통 총100마리)	단순	03:20	04:10	50	16412600	일반식품	식품	59900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2239817699&preview=true
CJ온스타일 플러스	20260701	03:25	03:35	10	24K 트리플 팬던트 목걸이	24K	24K 트리플 팬던트 목걸이	단순	03:25	03:35	10	2780000		패션잡화	1390000	https://display.cjonstyle.com/p/item/2087661264
공영쇼핑	20260701	03:30	03:51	21	[까사메르] 씨위드 시어서커 이불 3종 (킹 3장] )	1만원	[까사메르] 씨위드 시어서커 이불 3종 (킹 3장] )	단순	03:30	03:51	21	2166900	리빙/주방	가구/인테리어	69900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11944335
CJ온스타일	20260701	03:30	03:45	15	[최초가109,000원] 26SS 쿨 슬럽 라이크라® 에어 슬랙스 3종	다니엘크레뮤	[최초가109,000원] 26SS 쿨 슬럽 라이크라® 에어 슬랙스 3종	단순	03:30	03:45	15	1852000	의류	패션의류	109000	https://display.cjonstyle.com/p/item/2081617907?channelCode=30002002
롯데홈쇼핑	20260701	03:30	04:00	30	[키트짐 홈필라] 홈필라 리포머	키트짐 홈필라	[키트짐 홈필라] 홈필라 리포머	단순	03:30	04:00	30	3892000	문화/스포츠	스포츠/레저	278000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12909637
GS홈쇼핑 마이샵	20260701	03:32	03:37	5	르까프 26SS 최신상 남성 데일리쿨 냉감 티셔츠 7종	르까프	르까프 26SS 최신상 남성 데일리쿨 냉감 티셔츠 7종	단순	03:32	03:37	5	59000		패션의류	59000	https://www.gsshop.com/prd/prd.gs?prdid=1124908387&brddate=20260701145700&pgmID=12502&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260701	03:35	03:45	10	24K 비너스 체인 목걸이	24K	24K 비너스 체인 목걸이	단순	03:35	03:45	10	10540000		패션잡화	5320000	https://display.cjonstyle.com/p/item/2087659771
