상품대분류명,상품중분류명,상품소분류명,가격구간,전환율,취소율,반품율
보석/장신구,쥬얼리(명품),팔찌,3_ 30~50만원,30.1%,51%,20.5%
패션잡화,가방,쇼퍼백,1_ 0~10만원,35.2%,46%,20.5%
패션의류,남성의류,하의,2_ 10~30만원,63.0%,17%,20.5%
언더웨어,패션속옷,브라+팬티세트,1_ 0~10만원,58.7%,21%,20.4%
패션잡화,가방(명품),토트백,5_ 100만원 이상,24.4%,56%,20.4%
출산/육아,주니어 의류,바지/팬츠,1_ 0~10만원,47.8%,38%,20.3%
패션잡화,가방(명품),미니백,2_ 10~30만원,31.4%,49%,20.3%
패션잡화,패션소품(명품),시계,2_ 10~30만원,34.8%,45%,20.3%
패션잡화,패션소품,시계,3_ 30~50만원,30.7%,51%,20.2%
패션잡화,지갑(명품),장지갑,5_ 100만원 이상,31.5%,49%,20.2%
패션잡화,신발,기능화,2_ 10~30만원,58.3%,22%,20.1%
패션잡화,가방(명품),쇼퍼백,3_ 30~50만원,36.9%,45%,20.1%
패션의류,남성의류,아우터,2_ 10~30만원,56.4%,25%,20.1%
패션잡화,가방(명품),토트백,2_ 10~30만원,35.4%,46%,20.0%
패션잡화,가방,숄더백,1_ 0~10만원,44.8%,36%,20.0%
패션잡화,가방(명품),핸드백,4_ 50~100만원,25.5%,55%,19.9%
패션잡화,가방(명품),숄더백,4_ 50~100만원,31.6%,49%,19.8%
패션잡화,패션소품,시계,2_ 10~30만원,41.1%,39%,19.8%
출산/육아,주니어 의류,재킷,1_ 0~10만원,51.5%,30%,19.8%
패션잡화,패션소품(명품),시계,3_ 30~50만원,38.6%,42%,19.7%
패션잡화,패션소품(명품),머플러/스카프/숄,4_ 50~100만원,41.1%,40%,19.6%
언더웨어,보정속옷,브라+팬티세트,1_ 0~10만원,59.2%,22%,19.6%
스포츠/레저,골프웨어,패션잡화,1_ 0~10만원,50.9%,31%,19.6%
패션잡화,가방,크로스백,2_ 10~30만원,42.9%,38%,19.5%
패션잡화,가방,크로스백,1_ 0~10만원,43.3%,38%,19.5%
패션잡화,가방,가방세트,1_ 0~10만원,48.4%,33%,19.5%
패션잡화,패션소품,시계,5_ 100만원 이상,24.6%,56%,19.4%
보석/장신구,쥬얼리(명품),반지,3_ 30~50만원,39.2%,43%,19.3%
패션잡화,가방(명품),클러치/파우치,5_ 100만원 이상,34.5%,47%,19.3%
패션잡화,가방(명품),쇼퍼백,2_ 10~30만원,37.3%,46%,19.2%
패션잡화,패션소품,머플러/스카프/숄,2_ 10~30만원,45.6%,36%,19.2%
보석/장신구,쥬얼리(명품),반지,5_ 100만원 이상,25.8%,55%,19.2%
패션잡화,가방(명품),백팩,4_ 50~100만원,27.0%,54%,19.2%
패션의류,UNISEX캐쥬얼,아우터,1_ 0~10만원,54.3%,28%,19.1%
스포츠/레저,스포츠용품,스포츠잡화,2_ 10~30만원,58.5%,25%,19.1%
언더웨어,이지웨어,브라탑,1_ 0~10만원,61.1%,21%,19.0%
패션잡화,가방(명품),호보백,5_ 100만원 이상,26.7%,56%,19.0%
패션잡화,신발(명품),기능화,1_ 0~10만원,49.1%,32%,18.9%
패션잡화,패션소품(명품),머플러/스카프/숄,2_ 10~30만원,46.5%,36%,18.9%
패션잡화,가방(명품),여행가방,3_ 30~50만원,46.6%,37%,18.8%
스포츠/레저,헬스용품,헬스기구,4_ 50~100만원,40.3%,41%,18.8%
패션잡화,패션소품(명품),시계,5_ 100만원 이상,28.1%,58%,18.8%
스포츠/레저,골프웨어,UNISEX 상의,1_ 0~10만원,57.8%,24%,18.7%
보석/장신구,쥬얼리(명품),목걸이,5_ 100만원 이상,27.5%,55%,18.7%
패션잡화,패션소품,시계,4_ 50~100만원,20.9%,60%,18.7%
출산/육아,주니어 의류,점퍼,1_ 0~10만원,44.7%,37%,18.7%
보석/장신구,쥬얼리,세트,3_ 30~50만원,32.7%,49%,18.7%
생활/건강,건강,안마/마사지기,3_ 30~50만원,58.1%,24%,18.6%
보석/장신구,쥬얼리(명품),목걸이,4_ 50~100만원,32.6%,50%,18.6%
출산/육아,패션잡화,학용품,1_ 0~10만원,34.1%,49%,18.5%
스포츠/레저,골프웨어,남성 아우터,2_ 10~30만원,50.5%,32%,18.5%
인테리어,침구,침구용품,5_ 100만원 이상,32.6%,50%,18.4%
패션잡화,가방(명품),클러치/파우치,4_ 50~100만원,21.7%,60%,18.3%
스포츠/레저,골프웨어,남성 아우터,1_ 0~10만원,59.5%,24%,18.3%
스포츠/레저,스포츠화/운동화,운동화,1_ 0~10만원,56.6%,26%,18.2%
패션의류,남성의류,아우터,1_ 0~10만원,55.9%,27%,18.1%
언더웨어,이지웨어,혼합세트,1_ 0~10만원,57.3%,26%,18.1%
패션의류,남성의류,하의,1_ 0~10만원,61.3%,21%,18.1%
보석/장신구,쥬얼리(명품),목걸이,3_ 30~50만원,34.9%,49%,18.0%
패션잡화,가방,토트백,1_ 0~10만원,48.3%,34%,18.0%
보석/장신구,쥬얼리(명품),귀걸이,3_ 30~50만원,43.4%,40%,18.0%
언더웨어,보정속옷,브라+팬티세트,2_ 10~30만원,61.1%,22%,17.9%
보석/장신구,쥬얼리(명품),귀걸이,4_ 50~100만원,38.5%,44%,17.8%
패션잡화,패션소품,모자,1_ 0~10만원,56.4%,27%,17.7%
보석/장신구,쥬얼리,팔찌,3_ 30~50만원,35.5%,48%,17.5%
스포츠/레저,스포츠의류,남성 하의,2_ 10~30만원,67.1%,17%,17.4%
패션잡화,가방,핸드백,4_ 50~100만원,21.4%,61%,17.4%
스포츠/레저,스포츠의류,남성 하의,1_ 0~10만원,63.6%,20%,17.3%
패션잡화,패션소품(명품),시계,4_ 50~100만원,29.6%,55%,17.2%
언더웨어,패션속옷,브레지어,1_ 0~10만원,62.3%,22%,17.2%
보석/장신구,쥬얼리,팔찌,4_ 50~100만원,30.9%,53%,17.1%
출산/육아,주니어 의류,베스트/조끼,1_ 0~10만원,41.0%,43%,17.1%
패션잡화,가방,크로스백,3_ 30~50만원,29.1%,56%,17.1%
스포츠/레저,등산용품,등산화,1_ 0~10만원,59.0%,25%,17.1%
보석/장신구,쥬얼리(명품),목걸이,2_ 10~30만원,39.9%,44%,17.1%
패션잡화,가방(명품),토트백,4_ 50~100만원,28.0%,57%,17.0%
디지털/가전,주방가전,정수기,2_ 10~30만원,52.6%,30%,16.9%
서비스,회원권/이용권,숙박,1_ 0~10만원,52.3%,31%,16.9%
스포츠/레저,등산용품,등산잡화,1_ 0~10만원,61.4%,23%,16.8%
패션잡화,지갑(명품),중지갑/반지갑,4_ 50~100만원,39.4%,45%,16.8%
패션잡화,가방,백팩,1_ 0~10만원,52.4%,32%,16.7%
스포츠/레저,스포츠화/운동화,방한화/부츠,1_ 0~10만원,56.8%,27%,16.7%
패션의류,남성의류(명품),아우터,4_ 50~100만원,8.3%,75%,16.7%
보석/장신구,쥬얼리,세트,2_ 10~30만원,39.1%,45%,16.6%
보석/장신구,쥬얼리(명품),반지,2_ 10~30만원,41.3%,44%,16.5%
패션잡화,가방,백팩,2_ 10~30만원,53.1%,31%,16.5%
스포츠/레저,등산용품,등산화,2_ 10~30만원,61.8%,22%,16.4%
패션잡화,패션소품,벨트,1_ 0~10만원,53.8%,31%,16.4%
생활/건강,청소/세탁,세제/세정제,2_ 10~30만원,63.2%,20%,16.4%
보석/장신구,쥬얼리,세트,4_ 50~100만원,31.5%,54%,16.4%
패션잡화,패션소품(명품),모자,2_ 10~30만원,27.2%,58%,16.4%
패션잡화,가방,미니백,1_ 0~10만원,52.0%,32%,16.2%
생활/건강,건강,온열기/찜질기/자극기,3_ 30~50만원,57.0%,29%,16.2%
디지털/가전,계절가전,가습기,2_ 10~30만원,52.1%,32%,16.2%
언더웨어,이지웨어,베이스레이어,1_ 0~10만원,59.1%,25%,16.2%
인테리어,홈데코,커버,1_ 0~10만원,50.8%,33%,16.1%
패션잡화,패션소품,벨트,2_ 10~30만원,52.1%,34%,16.1%
스포츠/레저,스포츠의류,남성 아우터,1_ 0~10만원,61.7%,23%,16.1%
보석/장신구,쥬얼리,세트,5_ 100만원 이상,27.3%,57%,16.1%
스포츠/레저,스포츠의류,여성 상의,3_ 30~50만원,38.4%,46%,16.1%
스포츠/레저,스포츠의류,남성 세트,1_ 0~10만원,61.4%,24%,16.0%
출산/육아,주니어 의류,니트/스웨터,1_ 0~10만원,44.1%,43%,16.0%
디지털/가전,주방가전,전기쿠커,3_ 30~50만원,34.2%,50%,15.8%
스포츠/레저,골프용품,골프용구,1_ 0~10만원,69.0%,15%,15.8%
패션잡화,가방(명품),여행가방,2_ 10~30만원,58.0%,26%,15.6%
보석/장신구,쥬얼리(명품),귀걸이,5_ 100만원 이상,40.7%,44%,15.6%
스포츠/레저,스포츠의류,남성 아우터,2_ 10~30만원,61.4%,24%,15.4%
언더웨어,이지웨어,잠옷,1_ 0~10만원,60.8%,25%,15.4%
보석/장신구,쥬얼리,귀걸이,4_ 50~100만원,32.5%,53%,15.1%
패션의류,남성의류,세트,1_ 0~10만원,61.9%,23%,15.1%
보석/장신구,쥬얼리,팔찌,5_ 100만원 이상,26.8%,59%,15.1%
스포츠/레저,스포츠의류,UNISEX 세트,1_ 0~10만원,62.9%,23%,15.1%
언더웨어,이지웨어,티셔츠,1_ 0~10만원,59.4%,27%,15.0%
패션의류,남성의류,상의,2_ 10~30만원,62.8%,23%,15.0%
패션잡화,지갑,중지갑/반지갑,2_ 10~30만원,51.9%,35%,15.0%
스포츠/레저,헬스용품,헬스소품,2_ 10~30만원,51.3%,36%,14.7%
보석/장신구,쥬얼리,목걸이,3_ 30~50만원,37.9%,49%,14.7%
스포츠/레저,스포츠의류,남성 세트,2_ 10~30만원,62.0%,25%,14.7%
패션잡화,패션소품(명품),머플러/스카프/숄,3_ 30~50만원,52.7%,34%,14.7%
패션의류,이지웨어,홈웨어,1_ 0~10만원,56.4%,30%,14.6%
패션잡화,지갑(명품),중지갑/반지갑,2_ 10~30만원,45.5%,43%,14.5%
보석/장신구,쥬얼리,팔찌,1_ 0~10만원,46.6%,40%,14.5%
패션잡화,패션소품,머플러/스카프/숄,1_ 0~10만원,57.1%,29%,14.4%
보석/장신구,쥬얼리,목걸이,4_ 50~100만원,32.8%,53%,14.4%
패션잡화,가방(명품),여행가방,4_ 50~100만원,32.7%,53%,14.4%
보석/장신구,쥬얼리,세트,1_ 0~10만원,48.5%,38%,14.3%
패션잡화,지갑,머니클립/카드지갑,3_ 30~50만원,30.6%,57%,14.3%
생활/건강,생활잡화,재봉용품,1_ 0~10만원,62.4%,24%,14.3%
인테리어,홈데코,커튼/블라인드,2_ 10~30만원,48.2%,38%,14.2%
생활/건강,수납용품,선반,1_ 0~10만원,69.4%,16%,14.2%
스포츠/레저,스포츠화/운동화,샌들,1_ 0~10만원,68.4%,18%,14.2%
보석/장신구,쥬얼리,귀걸이,3_ 30~50만원,39.3%,48%,14.2%
패션잡화,패션소품,장갑,1_ 0~10만원,51.9%,34%,14.1%
패션잡화,가방,핸드백,5_ 100만원 이상,14.6%,72%,14.0%
생활/건강,건강,교정기구,3_ 30~50만원,27.9%,58%,14.0%
인테리어,침구,침구용품,3_ 30~50만원,50.4%,37%,13.8%
스포츠/레저,스포츠의류,남성 상의,2_ 10~30만원,63.0%,24%,13.8%
생활/건강,건강,교정기구,2_ 10~30만원,63.1%,24%,13.7%
패션잡화,패션소품,양산,1_ 0~10만원,59.2%,28%,13.7%
디지털/가전,주방가전,음식물 처리기,4_ 50~100만원,55.4%,32%,13.6%
패션잡화,패션소품,우산,2_ 10~30만원,57.0%,30%,13.6%
보석/장신구,쥬얼리,목걸이,2_ 10~30만원,44.5%,43%,13.6%
