상품대분류명,상품중분류명,상품소분류명,가격구간,전환율,취소율,반품율
보석/장신구,주화&순금,기념품,1_ 0~10만원,50.4%,49%,1.9%
문화/취미,도서/미디어,CD,1_ 0~10만원,74.4%,26%,1.8%
식품,건강식품,일반건강식품,1_ 0~10만원,77.5%,22%,1.8%
식품,농산물,견과류,2_ 10~30만원,80.6%,19%,1.7%
문화/취미,애완/반려,반려견용품,1_ 0~10만원,85.8%,13%,1.7%
인테리어,생활가구,거실가구,5_ 100만원 이상,51.5%,47%,1.5%
출산/육아,유아안전/실내용품,안전용품,3_ 30~50만원,71.2%,27%,1.5%
식품,농산물,채소/야채,1_ 0~10만원,84.2%,15%,1.3%
식품,가공식품,즉석조리제품,2_ 10~30만원,78.6%,21%,1.3%
식품,가공식품,캔/통조림/병조림,1_ 0~10만원,81.4%,18%,1.3%
식품,가공식품,커피/차/음료,1_ 0~10만원,80.6%,19%,1.3%
식품,건강식품,특수용도식품,2_ 10~30만원,74.3%,25%,1.3%
식품,가공식품,오일/장류/소스,1_ 0~10만원,80.3%,19%,1.2%
식품,건강식품,특수용도식품,3_ 30~50만원,77.3%,22%,1.2%
생활/건강,방범/보안/안전,보안용품,5_ 100만원 이상,44.1%,56%,1.2%
생활/건강,제지/위생,티슈/화장지,1_ 0~10만원,78.0%,22%,1.2%
식품,가공식품,면류,2_ 10~30만원,72.1%,27%,1.2%
인테리어,시공/리모델링,주방시공,4_ 50~100만원,31.5%,68%,0.9%
식품,건강식품,건강기능식품,4_ 50~100만원,78.1%,21%,0.9%
식품,농산물,과일/청과,1_ 0~10만원,86.7%,13%,0.9%
식품,농산물,견과류,1_ 0~10만원,82.4%,18%,0.9%
문화/취미,도서/미디어,CD,2_ 10~30만원,72.3%,28%,0.9%
식품,가공식품,간식류,1_ 0~10만원,82.5%,17%,0.8%
디지털/가전,노트북,슬림형노트북,5_ 100만원 이상,42.0%,58%,0.7%
식품,농산물,전통식품,1_ 0~10만원,86.3%,14%,0.7%
식품,농산물,양곡,1_ 0~10만원,86.5%,13%,0.6%
식품,축산물,우육,2_ 10~30만원,81.8%,19%,0.6%
식품,수산물,건어물/해조류,1_ 0~10만원,83.3%,16%,0.6%
식품,가공식품,국/찌개/탕,1_ 0~10만원,84.9%,15%,0.5%
식품,가공식품,야채가공식품,1_ 0~10만원,80.8%,19%,0.5%
문화/취미,도서/미디어,미디어,1_ 0~10만원,69.7%,30%,0.5%
디지털/가전,계절가전,제습기,4_ 50~100만원,58.2%,42%,0.4%
식품,수산물,갑각류/패류,1_ 0~10만원,84.3%,16%,0.4%
식품,수산물,갑각류/패류,2_ 10~30만원,83.8%,17%,0.4%
식품,가공식품,반찬/젓갈류,1_ 0~10만원,83.9%,16%,0.4%
식품,가공식품,수산가공식품,1_ 0~10만원,85.5%,15%,0.4%
식품,가공식품,대용식,1_ 0~10만원,81.8%,19%,0.3%
식품,축산물,우육,1_ 0~10만원,84.8%,16%,0.3%
식품,수산물,어류/생선,1_ 0~10만원,84.3%,16%,0.3%
식품,가공식품,수산가공식품,2_ 10~30만원,82.1%,18%,0.3%
식품,수산물,수산가공식품,1_ 0~10만원,84.1%,17%,0.3%
식품,수산물,연체류,1_ 0~10만원,84.2%,17%,0.3%
식품,건강식품,특수용도식품,1_ 0~10만원,77.9%,23%,0.3%
디지털/가전,주방가전,전기레인지,5_ 100만원 이상,30.6%,70%,0.2%
식품,수산물,수산조리식품,1_ 0~10만원,84.2%,16%,0.2%
식품,가공식품,면류,1_ 0~10만원,83.2%,17%,0.2%
디지털/가전,계절가전,냉방가전,5_ 100만원 이상,39.5%,61%,0.2%
식품,가공식품,기타가공식품,1_ 0~10만원,84.1%,16%,0.2%
식품,축산물,육가공,1_ 0~10만원,87.3%,13%,0.2%
식품,농산물,버섯,2_ 10~30만원,70.1%,30%,0.2%
디지털/가전,영상가전/멀티미디어,TV,5_ 100만원 이상,39.0%,62%,0.2%
식품,축산물,돈육,1_ 0~10만원,84.1%,17%,0.2%
식품,수산물,기타,1_ 0~10만원,84.7%,16%,0.2%
식품,축산물,계육,1_ 0~10만원,88.4%,12%,0.2%
디지털/가전,생활가전,공기청정기,5_ 100만원 이상,45.3%,55%,0.2%
식품,수산물,반찬/젓갈류,1_ 0~10만원,86.3%,14%,0.2%
디지털/가전,생활가전,의류 건조/관리기,5_ 100만원 이상,34.4%,66%,0.1%
식품,가공식품,즉석조리제품,1_ 0~10만원,83.3%,18%,0.1%
디지털/가전,주방가전,냉장고,5_ 100만원 이상,35.8%,65%,0.1%
식품,축산물,양육,1_ 0~10만원,83.6%,17%,0.1%
식품,가공식품,김치,1_ 0~10만원,88.6%,12%,0.1%
식품,가공식품,유제품,1_ 0~10만원,82.8%,18%,0.1%
디지털/가전,생활가전,세탁기,5_ 100만원 이상,26.0%,75%,0.1%
디지털/가전,생활가전,세탁기,4_ 50~100만원,48.3%,52%,0.1%
금융,보험,건강보험,4_ 50~100만원,98.6%,1%,0.0%
금융,보험,건강보험,5_ 100만원 이상,77.4%,1%,0.0%
금융,보험,보험(직영GA),5_ 100만원 이상,75.4%,1%,0.0%
디지털/가전,계절가전,가습기,5_ 100만원 이상,37.0%,65%,0.0%
디지털/가전,노트북,노트북,3_ 30~50만원,0.0%,100%,0.0%
디지털/가전,노트북,노트북,5_ 100만원 이상,27.9%,73%,0.0%
디지털/가전,생활가전,공기청정기,2_ 10~30만원,47.4%,58%,0.0%
디지털/가전,생활가전,의류 건조/관리기,4_ 50~100만원,77.8%,22%,0.0%
디지털/가전,영상가전/멀티미디어,TV,4_ 50~100만원,13.6%,86%,0.0%
디지털/가전,주방가전,김치냉장고,4_ 50~100만원,51.9%,48%,0.0%
디지털/가전,주방가전,김치냉장고,5_ 100만원 이상,43.0%,57%,0.0%
디지털/가전,주방가전,냉장고,4_ 50~100만원,62.7%,37%,0.0%
디지털/가전,주방가전,식기세척기,4_ 50~100만원,63.9%,36%,0.0%
디지털/가전,주방가전,전기레인지,2_ 10~30만원,0.0%,100%,0.0%
디지털/가전,주방가전,전기레인지,3_ 30~50만원,50.0%,50%,0.0%
디지털/가전,주방가전,전기레인지,4_ 50~100만원,100.0%,0%,0.0%
디지털/가전,주방가전,전자레인지,1_ 0~10만원,61.8%,38%,0.0%
디지털/가전,주방가전,전자레인지,3_ 30~50만원,100.0%,0%,0.0%
디지털/가전,주방가전,전자레인지,4_ 50~100만원,100.0%,0%,0.0%
디지털/가전,주방가전,정수기,1_ 0~10만원,0.0%,100%,0.0%
배송옵션/사은품,사은품/경품,사은품/경품,1_ 0~10만원,0.0%,100%,0.0%
보석/장신구,패션소품,액세서리소품,2_ 10~30만원,0.0%,125%,0.0%
생활/건강,건강,실버용품,2_ 10~30만원,70.6%,35%,0.0%
생활/건강,건강,실버용품,3_ 30~50만원,50.0%,50%,0.0%
생활/건강,건강,실버용품,4_ 50~100만원,75.0%,25%,0.0%
서비스,렌탈,상조,5_ 100만원 이상,67.2%,1%,0.0%
서비스,렌탈,생활가전,5_ 100만원 이상,99.0%,1%,0.0%
서비스,렌탈,시공,5_ 100만원 이상,99.7%,0%,0.0%
서비스,렌탈,식품,5_ 100만원 이상,98.7%,1%,0.0%
서비스,렌탈,의료/건강,5_ 100만원 이상,91.5%,1%,0.0%
서비스,렌탈,이미용기기,5_ 100만원 이상,98.5%,1%,0.0%
서비스,렌탈,자동차,5_ 100만원 이상,33.1%,2%,0.0%
서비스,렌탈,주방가전,5_ 100만원 이상,90.5%,1%,0.0%
서비스,렌탈,침실가구,5_ 100만원 이상,81.5%,1%,0.0%
서비스,렌탈,학습/도서,5_ 100만원 이상,92.2%,1%,0.0%
서비스,여행,국내 자유여행,2_ 10~30만원,83.5%,0%,0.0%
서비스,여행,국내 자유여행,3_ 30~50만원,38.7%,5%,0.0%
서비스,여행,해외 패키지여행,2_ 10~30만원,99.0%,1%,0.0%
서비스,여행,해외 패키지여행,3_ 30~50만원,68.8%,1%,0.0%
서비스,여행,해외 패키지여행,4_ 50~100만원,85.4%,0%,0.0%
서비스,여행,해외 패키지여행,5_ 100만원 이상,75.9%,1%,0.0%
서비스,회원권/이용권,교육/문화,5_ 100만원 이상,98.5%,1%,0.0%
서비스,회원권/이용권,의료/건강,3_ 30~50만원,98.6%,1%,0.0%
스포츠/레저,골프용품,골프용구,4_ 50~100만원,33.3%,67%,0.0%
스포츠/레저,자동차,자동차용품,1_ 0~10만원,38.9%,64%,0.0%
식품,농산물,버섯,3_ 30~50만원,66.3%,34%,0.0%
식품,축산물,양육,2_ 10~30만원,72.6%,27%,0.0%
이미용,헤어케어,케어세트,1_ 0~10만원,39.1%,70%,0.0%
인테리어,생활가구,거실가구,3_ 30~50만원,0.0%,100%,0.0%
인테리어,시공/리모델링,욕실시공,5_ 100만원 이상,27.8%,72%,0.0%
인테리어,시스템가구,주방가구,5_ 100만원 이상,16.4%,84%,0.0%
주방,주방용품,식품 제조기,2_ 10~30만원,7.7%,92%,0.0%
출산/육아,도서/미디어,유아동미디어,4_ 50~100만원,50.0%,50%,0.0%
패션잡화,가방,토트백,4_ 50~100만원,0.0%,100%,0.0%
패션잡화,지갑(명품),머니클립/카드지갑,2_ 10~30만원,12.5%,144%,0.0%
