상품대분류명,상품중분류명,가격구간,전환율,취소율,반품율
생활/건강,청소/세탁,1_ 0~10만원,78.5%,17%,5.7%
생활/건강,청소/세탁,2_ 10~30만원,68.2%,22%,9.9%
식품,축산물,1_ 0~10만원,85.9%,15%,0.3%
식품,축산물,2_ 10~30만원,81.8%,19%,0.6%
인테리어,침구,1_ 0~10만원,65.4%,26%,9.3%
인테리어,침구,2_ 10~30만원,60.8%,29%,10.8%
인테리어,침구,3_ 30~50만원,50.4%,37%,13.8%
인테리어,침구,4_ 50~100만원,47.2%,41%,12.5%
인테리어,침구,5_ 100만원 이상,35.2%,51%,15.0%
인테리어,침실가구,1_ 0~10만원,65.3%,25%,9.7%
인테리어,침실가구,2_ 10~30만원,63.9%,32%,5.8%
인테리어,침실가구,3_ 30~50만원,64.1%,28%,9.7%
인테리어,침실가구,4_ 50~100만원,42.9%,51%,6.7%
인테리어,침실가구,5_ 100만원 이상,40.1%,56%,4.5%
스포츠/레저,캠핑용품,1_ 0~10만원,70.1%,23%,7.9%
스포츠/레저,캠핑용품,2_ 10~30만원,55.6%,37%,9.6%
디지털/가전,통신기기,5_ 100만원 이상,49.1%,48%,3.1%
보석/장신구,패션소품,2_ 10~30만원,0.0%,125%,0.0%
패션잡화,패션소품,1_ 0~10만원,57.1%,28%,16.2%
패션잡화,패션소품,2_ 10~30만원,47.2%,35%,19.1%
패션잡화,패션소품,3_ 30~50만원,36.0%,46%,19.7%
패션잡화,패션소품,4_ 50~100만원,20.9%,60%,18.7%
패션잡화,패션소품,5_ 100만원 이상,24.6%,56%,19.4%
패션잡화,패션소품(명품),1_ 0~10만원,62.9%,32%,6.4%
패션잡화,패션소품(명품),2_ 10~30만원,46.9%,35%,18.6%
패션잡화,패션소품(명품),3_ 30~50만원,52.6%,34%,14.6%
패션잡화,패션소품(명품),4_ 50~100만원,41.3%,40%,19.5%
패션잡화,패션소품(명품),5_ 100만원 이상,20.3%,53%,27.4%
언더웨어,패션속옷,1_ 0~10만원,59.9%,21%,19.2%
언더웨어,패션속옷,2_ 10~30만원,57.0%,21%,22.5%
출산/육아,패션잡화,1_ 0~10만원,34.1%,49%,18.5%
이미용,향수,1_ 0~10만원,63.6%,33%,4.4%
이미용,향수,2_ 10~30만원,62.9%,32%,5.7%
이미용,향수,3_ 30~50만원,44.0%,51%,7.2%
이미용,향수,4_ 50~100만원,52.8%,41%,6.3%
이미용,헤어케어,1_ 0~10만원,74.9%,22%,4.8%
이미용,헤어케어,2_ 10~30만원,73.1%,21%,6.7%
이미용,헤어케어,3_ 30~50만원,65.7%,29%,6.9%
이미용,헤어케어,4_ 50~100만원,69.0%,25%,6.4%
이미용,헤어케어,5_ 100만원 이상,57.6%,41%,5.2%
스포츠/레저,헬스용품,1_ 0~10만원,67.6%,23%,11.8%
스포츠/레저,헬스용품,2_ 10~30만원,62.0%,29%,10.6%
스포츠/레저,헬스용품,3_ 30~50만원,64.1%,28%,9.4%
스포츠/레저,헬스용품,4_ 50~100만원,40.3%,41%,18.8%
인테리어,홈데코,1_ 0~10만원,74.4%,21%,5.3%
인테리어,홈데코,2_ 10~30만원,58.9%,30%,12.1%
인테리어,홈데코,3_ 30~50만원,52.9%,39%,10.3%
서비스,회원권/이용권,1_ 0~10만원,59.6%,27%,14.2%
서비스,회원권/이용권,2_ 10~30만원,43.6%,35%,21.8%
서비스,회원권/이용권,3_ 30~50만원,41.7%,37%,21.7%
서비스,회원권/이용권,4_ 50~100만원,29.5%,36%,34.8%
서비스,회원권/이용권,5_ 100만원 이상,98.5%,1%,0.0%
